name,league,primary,secondary,tertiary,quaternary,division
Loyola Maryland Greyhounds,ncaa,#00694E,#CACAC8,NA,NA,Patriot
LSU,ncaa,#461D7C,#FDD023,NA,NA,SEC
Maine Black Bears,ncaa,#003263,#B0D7FF,#AB0634,#908C89,Am. East
Manhattan,ncaa,#00703C,#FFFFFF,NA,NA,MAAC
Marist,ncaa,#C8102E,#B2B2B2,#000000,NA,MAAC
Marquette Golden Eagles,ncaa,#003366,#FFCC00,NA,NA,Big East
Marshall Thundering Herd,ncaa,#00B140,#A2AAAD,#693F23,#AD7C59,MVC
Maryland,ncaa,#E03A3E,#FFD520,#FFFFFF,#000000,Big 10
Massachusetts,ncaa,#971B2F,#572932,#B1B3B3,#000000,A-10
McNeese,ncaa,#00529B,#FFD204,NA,NA,Southland
Memphis Tigers,ncaa,#003087,#898D8D,NA,NA,AAC
Mercer Bears,ncaa,#CB5307,#000000,NA,NA,Southern
Merrimack,ncaa,#003768,#ffde00,#8c8a88,NA,NEC
Miami (FL),ncaa,#F47321,#005030,#FFFFFF,NA,ACC
Miami (OH),ncaa,#B61E2E,#000000,NA,NA,MAC
Michigan Wolverines,ncaa,#00274C,#FFCB05,NA,NA,Big 10
Michigan State Spartans,ncaa,#18453B,#FFFFFF,NA,NA,Big 10
Middle Tennessee,ncaa,#0066CC,#69B3E7,NA,NA,C-USA
Milwaukee,ncaa,#FFBD00,#CCCCCC,NA,NA,Horizon
Minnesota Golden Gophers,ncaa,#7A0019,#FFCC33,NA,NA,Big 10
Mississippi State,ncaa,#660000,#FFFFFF,#CCCCCC,#75787B,SEC
Mississippi Val.,ncaa,#046A38,#FFFFFF,NA,NA,SWAC
Missouri,ncaa,#000000,#F1B82D,NA,NA,SEC
Missouri State Bears[aj],ncaa,#5E0009,#000000,NA,NA,MVC
Monmouth Hawks,ncaa,#041E42,#53565A,NA,NA,CAA
Montana Grizzlies[ak],ncaa,#999999,#999999,NA,NA,Big Sky
Montana State Bobcats,ncaa,#B9975B,#B9975B,NA,NA,Big Sky
Morehead State Eagles,ncaa,#005EB8,#FFCF00,NA,NA,OVC
Morgan State Bears[aj],ncaa,#002D74,#FF4E00,NA,NA,MEAC
Mount State Mary's,ncaa,#002F6C,#FFFFFF,NA,NA,MAAC
